Local time,Open,High,Low,Close,Volume
02.01.2023 10:22:00.000 GMT+0100,829.542,829.542,829.542,829.542,0.0016
02.01.2023 10:23:00.000 GMT+0100,829.146,829.146,829.146,829.146,0.0016
02.01.2023 10:24:00.000 GMT+0100,828.936,829.145,828.931,829.145,0.0065
02.01.2023 10:25:00.000 GMT+0100,829.324,829.343,829.324,829.343,0.0032
02.01.2023 10:26:00.000 GMT+0100,829.325,829.352,829.315,829.315,0.0097
02.01.2023 10:27:00.000 GMT+0100,829.345,829.746,828.952,828.970,0.0162
02.01.2023 10:28:00.000 GMT+0100,829.128,829.128,829.128,829.128,0.0016
02.01.2023 10:29:00.000 GMT+0100,829.330,829.551,829.330,829.551,0.0065
02.01.2023 10:30:00.000 GMT+0100,829.739,829.751,829.157,829.354,0.0081
02.01.2023 10:31:00.000 GMT+0100,829.543,829.543,828.731,828.731,0.0081
02.01.2023 10:32:00.000 GMT+0100,828.539,828.539,828.170,828.357,0.0049
02.01.2023 10:33:00.000 GMT+0100,828.355,828.373,828.136,828.373,0.0049
02.01.2023 10:34:00.000 GMT+0100,828.399,828.399,826.924,826.946,0.0227
02.01.2023 10:35:00.000 GMT+0100,827.121,827.534,827.121,827.355,0.0146
02.01.2023 10:36:00.000 GMT+0100,827.570,827.570,826.599,826.599,0.0065
02.01.2023 10:37:00.000 GMT+0100,826.758,826.939,826.537,826.752,0.0097
02.01.2023 10:38:00.000 GMT+0100,826.967,826.967,826.757,826.757,0.0049
02.01.2023 10:39:00.000 GMT+0100,826.749,826.761,826.540,826.728,0.013
02.01.2023 10:40:00.000 GMT+0100,826.539,826.539,825.727,826.160,0.0113
02.01.2023 10:41:00.000 GMT+0100,825.773,825.773,824.948,825.325,0.0162
02.01.2023 10:42:00.000 GMT+0100,825.333,825.333,824.142,824.155,0.013
02.01.2023 10:43:00.000 GMT+0100,824.157,824.573,824.157,824.399,0.0065
02.01.2023 10:44:00.000 GMT+0100,824.354,824.354,823.530,823.755,0.0081
02.01.2023 10:45:00.000 GMT+0100,824.560,824.560,824.133,824.324,0.0081
02.01.2023 10:46:00.000 GMT+0100,823.733,824.170,823.339,824.157,0.0178
02.01.2023 10:47:00.000 GMT+0100,824.145,824.145,823.718,824.128,0.0081
02.01.2023 10:48:00.000 GMT+0100,823.964,824.164,823.367,823.957,0.0194
02.01.2023 10:49:00.000 GMT+0100,823.928,824.131,823.928,824.131,0.0049
02.01.2023 10:50:00.000 GMT+0100,823.948,824.173,823.124,823.158,0.0113
02.01.2023 10:51:00.000 GMT+0100,823.142,823.561,823.142,823.354,0.0097
02.01.2023 10:52:00.000 GMT+0100,823.157,823.333,823.131,823.333,0.0049
02.01.2023 10:53:00.000 GMT+0100,823.767,823.767,823.527,823.527,0.0049
02.01.2023 10:55:00.000 GMT+0100,823.133,823.334,822.743,822.743,0.0097
02.01.2023 10:56:00.000 GMT+0100,822.927,822.927,822.927,822.927,0.0016
02.01.2023 10:57:00.000 GMT+0100,823.351,823.599,823.155,823.599,0.0065
02.01.2023 10:59:00.000 GMT+0100,823.760,823.927,823.539,823.542,0.0097
02.01.2023 11:00:00.000 GMT+0100,823.536,823.567,823.534,823.534,0.0049
02.01.2023 11:01:00.000 GMT+0100,823.360,823.567,823.327,823.555,0.0065
02.01.2023 11:02:00.000 GMT+0100,823.346,823.548,823.346,823.548,0.0049
02.01.2023 11:04:00.000 GMT+0100,823.748,823.748,823.748,823.748,0.0016
02.01.2023 11:05:00.000 GMT+0100,823.727,824.158,823.727,824.151,0.0081
02.01.2023 11:06:00.000 GMT+0100,823.948,824.115,823.948,824.115,0.0049
02.01.2023 11:08:00.000 GMT+0100,824.318,824.951,824.318,824.951,0.0032
02.01.2023 11:09:00.000 GMT+0100,825.389,825.389,825.389,825.389,0.0016
02.01.2023 11:10:00.000 GMT+0100,825.533,825.552,825.533,825.552,0.0032
02.01.2023 11:11:00.000 GMT+0100,825.161,825.161,824.540,824.546,0.0065
02.01.2023 11:12:00.000 GMT+0100,824.127,824.728,824.115,824.728,0.0097
02.01.2023 11:13:00.000 GMT+0100,824.749,824.749,824.715,824.715,0.0049
02.01.2023 11:14:00.000 GMT+0100,824.939,825.364,824.736,825.127,0.0097
02.01.2023 11:16:00.000 GMT+0100,825.345,825.564,825.345,825.564,0.0097
02.01.2023 11:17:00.000 GMT+0100,825.761,825.799,824.942,825.154,0.0146
02.01.2023 11:18:00.000 GMT+0100,824.960,825.160,824.960,825.125,0.0081
02.01.2023 11:19:00.000 GMT+0100,825.346,825.758,825.346,825.758,0.0049
02.01.2023 11:20:00.000 GMT+0100,825.542,825.542,825.542,825.542,0.0016
02.01.2023 11:21:00.000 GMT+0100,825.799,825.943,825.757,825.770,0.0081
02.01.2023 11:22:00.000 GMT+0100,825.746,826.167,825.746,826.167,0.0065
02.01.2023 11:23:00.000 GMT+0100,826.170,826.170,826.170,826.170,0.0016
02.01.2023 11:24:00.000 GMT+0100,826.121,826.352,826.121,826.340,0.0065
02.01.2023 11:25:00.000 GMT+0100,826.531,826.748,826.531,826.748,0.0081
02.01.2023 11:26:00.000 GMT+0100,826.939,826.954,826.542,826.755,0.0146
02.01.2023 11:27:00.000 GMT+0100,826.567,826.731,826.318,826.545,0.0081
02.01.2023 11:29:00.000 GMT+0100,825.945,825.964,825.945,825.963,0.0065
02.01.2023 11:31:00.000 GMT+0100,826.154,826.154,825.960,825.967,0.0049
02.01.2023 11:33:00.000 GMT+0100,826.146,826.154,825.951,826.154,0.0049
02.01.2023 11:34:00.000 GMT+0100,826.515,826.746,826.515,826.560,0.0065
02.01.2023 11:35:00.000 GMT+0100,826.552,826.967,826.552,826.967,0.0097
02.01.2023 11:38:00.000 GMT+0100,826.770,826.957,826.770,826.957,0.0032
02.01.2023 11:39:00.000 GMT+0100,827.151,827.151,827.151,827.151,0.0016
02.01.2023 11:40:00.000 GMT+0100,827.173,827.589,827.173,827.589,0.0049
02.01.2023 11:41:00.000 GMT+0100,827.327,827.361,826.940,826.963,0.0113
02.01.2023 11:43:00.000 GMT+0100,826.958,826.958,826.928,826.928,0.0032
02.01.2023 11:44:00.000 GMT+0100,826.570,826.763,826.357,826.763,0.0097
02.01.2023 11:45:00.000 GMT+0100,826.537,826.763,826.324,826.763,0.0049
02.01.2023 11:46:00.000 GMT+0100,826.767,826.767,826.542,826.736,0.0049
02.01.2023 11:48:00.000 GMT+0100,826.754,826.754,826.754,826.754,0.0016
02.01.2023 11:50:00.000 GMT+0100,826.348,826.554,826.348,826.554,0.0032
02.01.2023 11:51:00.000 GMT+0100,826.730,826.730,826.518,826.518,0.0032
02.01.2023 11:52:00.000 GMT+0100,826.757,826.757,826.327,826.327,0.0065
02.01.2023 11:53:00.000 GMT+0100,826.199,826.334,825.964,826.161,0.0065
02.01.2023 11:54:00.000 GMT+0100,826.121,826.121,825.942,825.942,0.0049
02.01.2023 11:55:00.000 GMT+0100,825.948,826.134,825.924,825.954,0.0097
02.01.2023 11:56:00.000 GMT+0100,826.142,826.163,825.973,826.155,0.0065
02.01.2023 11:57:00.000 GMT+0100,825.958,825.958,825.958,825.958,0.0016
02.01.2023 11:58:00.000 GMT+0100,826.131,826.131,825.937,825.937,0.0032
02.01.2023 11:59:00.000 GMT+0100,825.918,826.534,825.915,826.534,0.0146
02.01.2023 12:00:00.000 GMT+0100,826.573,826.573,826.324,826.324,0.0065
02.01.2023 12:01:00.000 GMT+0100,826.349,826.352,826.349,826.352,0.0032
02.01.2023 12:02:00.000 GMT+0100,825.973,826.164,825.973,826.164,0.0032
02.01.2023 12:04:00.000 GMT+0100,826.155,826.746,826.155,826.746,0.0065
02.01.2023 12:05:00.000 GMT+0100,826.928,827.121,826.928,827.121,0.0032
02.01.2023 12:06:00.000 GMT+0100,827.327,827.327,827.327,827.327,0.0016
02.01.2023 12:07:00.000 GMT+0100,827.542,827.542,827.321,827.351,0.0049
02.01.2023 12:09:00.000 GMT+0100,827.325,827.364,827.325,827.355,0.0065
02.01.2023 12:10:00.000 GMT+0100,827.337,827.337,826.931,826.931,0.0146
02.01.2023 12:11:00.000 GMT+0100,827.118,827.137,826.931,827.128,0.0097
02.01.2023 12:13:00.000 GMT+0100,827.161,827.161,827.124,827.124,0.0032
02.01.2023 12:16:00.000 GMT+0100,827.154,827.334,827.154,827.334,0.0032
02.01.2023 12:17:00.000 GMT+0100,827.328,827.342,827.128,827.146,0.0065
02.01.2023 12:19:00.000 GMT+0100,827.164,827.358,827.143,827.315,0.0065
02.01.2023 12:22:00.000 GMT+0100,827.533,827.546,826.918,826.918,0.0097
02.01.2023 12:23:00.000 GMT+0100,827.136,827.136,827.136,827.136,0.0016
02.01.2023 12:26:00.000 GMT+0100,826.934,827.151,826.539,826.539,0.0113
02.01.2023 12:27:00.000 GMT+0100,826.752,826.755,826.752,826.755,0.0032
02.01.2023 12:29:00.000 GMT+0100,826.927,827.137,826.927,827.137,0.0032
02.01.2023 12:30:00.000 GMT+0100,827.331,827.331,827.331,827.331,0.0016
02.01.2023 12:32:00.000 GMT+0100,827.349,827.545,827.349,827.533,0.0081
02.01.2023 12:36:00.000 GMT+0100,827.746,827.751,827.525,827.525,0.0065
02.01.2023 12:37:00.000 GMT+0100,827.534,827.534,827.534,827.534,0.0016
02.01.2023 12:38:00.000 GMT+0100,827.589,827.767,827.524,827.767,0.0065
02.01.2023 12:39:00.000 GMT+0100,827.555,827.555,827.534,827.534,0.0032
02.01.2023 12:40:00.000 GMT+0100,827.133,827.561,827.133,827.561,0.0032
02.01.2023 12:41:00.000 GMT+0100,827.561,827.561,827.561,827.561,0.0016
02.01.2023 12:44:00.000 GMT+0100,827.924,827.924,827.330,827.330,0.0049
02.01.2023 12:45:00.000 GMT+0100,827.357,827.563,827.149,827.348,0.0065
02.01.2023 12:46:00.000 GMT+0100,827.115,827.351,826.973,826.973,0.0146
02.01.2023 12:47:00.000 GMT+0100,827.146,827.321,826.930,827.167,0.0097
02.01.2023 12:48:00.000 GMT+0100,827.354,827.554,827.354,827.554,0.0049
02.01.2023 12:50:00.000 GMT+0100,827.751,827.751,827.537,827.749,0.0049
02.01.2023 12:51:00.000 GMT+0100,827.358,827.754,827.358,827.754,0.0065
02.01.2023 12:52:00.000 GMT+0100,827.964,827.964,827.928,827.928,0.0065
02.01.2023 12:53:00.000 GMT+0100,827.725,827.933,827.533,827.767,0.0081
02.01.2023 12:54:00.000 GMT+0100,827.333,827.552,827.333,827.552,0.0032
02.01.2023 12:56:00.000 GMT+0100,827.534,827.545,827.328,827.537,0.0081
02.01.2023 12:57:00.000 GMT+0100,827.361,827.515,827.315,827.515,0.0146
02.01.2023 12:58:00.000 GMT+0100,827.533,827.534,827.318,827.534,0.0049
02.01.2023 13:00:00.000 GMT+0100,827.561,827.561,827.561,827.561,0.0016
02.01.2023 13:02:00.000 GMT+0100,827.358,827.546,827.337,827.546,0.0065
02.01.2023 13:04:00.000 GMT+0100,827.518,827.518,827.518,827.518,0.0016
02.01.2023 13:05:00.000 GMT+0100,827.942,827.942,827.942,827.942,0.0016
02.01.2023 13:06:00.000 GMT+0100,827.725,827.725,827.725,827.725,0.0016
02.01.2023 13:07:00.000 GMT+0100,827.754,827.754,827.531,827.531,0.0049
02.01.2023 13:08:00.000 GMT+0100,827.552,827.570,827.337,827.528,0.0081
02.01.2023 13:09:00.000 GMT+0100,827.389,827.389,827.328,827.328,0.0032
02.01.2023 13:10:00.000 GMT+0100,827.352,827.363,827.339,827.343,0.0065
02.01.2023 13:12:00.000 GMT+0100,827.330,827.330,827.330,827.330,0.0016
02.01.2023 13:13:00.000 GMT+0100,827.334,827.334,827.155,827.155,0.0032
02.01.2023 13:14:00.000 GMT+0100,827.134,827.134,827.134,827.134,0.0016
02.01.2023 13:15:00.000 GMT+0100,827.361,827.361,827.139,827.139,0.0032
02.01.2023 13:17:00.000 GMT+0100,827.161,827.161,827.142,827.142,0.0032
